Unnamed: 0,Spanish,English
531,paz,peace
532,demonios,demons
533,estará,will be
534,cual,which
535,perdón,sorry
536,asi,So
537,jugar,play
538,pensando,thinking
539,esperar,wait
540,sabemos,we know
541,recuerdo,memory
542,par,pair
543,joven,young
544,seguir,continue
545,pueblo,town
546,tenga,have
547,caballeros,gentlemen
548,idiota,moron
549,dio,gave
550,minuto,minute
551,bebé,baby
552,única,only
553,lejos,far
554,nuestras,ours
555,plan,plan
556,pienso,I think
557,sentido,sense
558,dormir,sleep
559,digas,you say
560,palabra,word
561,correcto,correct
562,control,control
563,vemos,we see
564,entiendes,you understand
565,país,country
566,seis,six
567,último,last
568,ésta,this
569,diga,Say
570,podrías,could you
571,pequeña,small
572,cállate,be quiet
573,trato,deal
574,rey,king
575,sucede,happens
576,muchachos,boys
577,jamás,never
578,cama,bed
579,srta,Ms
580,ayudar,help
581,di,gave
582,cambio,change
583,falta,lack
584,hospital,hospital
585,lleva,carry
586,presidente,president
587,mil,thousand
588,gusto,taste
589,conoces,you know
590,diciendo,saying
591,os,you
592,general,general
593,extraño,strange
594,semanas,weeks
595,coche,car
596,peor,worse
597,mucha,a lot
598,disculpe,excuse me
599,diré,I will say
600,anoche,last night
601,perder,lose
602,vámonos,let's go
603,nave,ship
604,cielo,darling
605,habrá,there will be
606,orden,order
607,segura,safe
608,querida,Dear
609,niña,little girl
610,increíble,incredible
611,además,besides
612,deben,They must
613,libro,book
614,calle,street
615,café,coffee
616,piensas,You think
617,hacemos,we make
618,especial,special
619,queremos,we want
620,irme,Go
621,perfecto,perfect
622,buscar,look for
623,odio,hate
624,piensa,think
625,oficina,office
626,hablas,speak
627,libre,free
628,agente,agent
629,york,York
630,llamar,call
631,mala,bad
632,detrás,behind
633,viste,dresses
634,dile,tell him
635,grandes,big
636,recuerdas,remember
637,real,real
638,estaban,were
639,mía,mine
640,frente,forehead
641,perdido,lost
642,llamo,called
643,muertos,dead
644,millones,millions
645,sueño,dream
646,quisiera,I'd like
647,habría,there would be
648,hará,will do
649,viaje,journey
650,probablemente,probably
651,resto,rest
652,estaré,I will be
653,maldición,curse
654,lamento,lament
655,muchacho,young guy
656,avión,plane
657,ropa,clothes
658,fuerza,force
659,llamado,called
660,oído,ear
661,dado,given
662,encima,on
663,negro,black
664,usar,wear
665,información,information
666,uds,You
667,preguntas,questions
668,tuvo,had
669,secreto,secret
670,vuelve,comes back
671,miren,Look
672,quieras,You want
673,haría,would do
674,acaba,just
675,otras,others
676,incluso,even
677,sientes,you feel
678,deberíamos,we should
679,haz,beam
680,decirte,tell you
681,boca,mouth
682,dolor,pain
683,baño,bathroom
684,adentro,inside
685,profesor,teacher
686,habitación,room
687,daño,damage
688,tuyo,yours
689,seas,You are
690,noticias,news
691,demás,the rest
692,querido,darling
693,duro,hard
694,poner,put
695,prueba,proof
696,mire,Look
697,tonto,silly
698,campo,field
699,siendo,being
700,diez,ten
701,ése,that
702,tranquilo,don't worry
703,asunto,affair
704,acabó,just
705,quédate,stay
706,derecho,right
707,placer,pleasure
708,recuerda,remember
709,estuve,I have been
710,tratando,treating
711,ejército,army
712,futuro,future
713,llevar,carry
714,compañía,company
715,venido,I come
716,listos,Ready
717,haremos,will
718,sitio,place
719,verlo,see him
720,puesto,position
721,atención,attention
722,sino,but
723,cambiar,change
724,error,mistake
725,blanco,white
726,raro,queer
727,palabras,words
728,llegó,arrive
729,sal,salt
730,pase,happens
731,mente,mind
732,sistema,system
733,película,movie
734,anda,walk
735,ello,it
736,negocio,business
737,novia,bride
738,permiso,permission
739,creí,I believed
740,suena,sounds
741,ocurre,occurs
742,oficial,official
743,espere,wait
744,aire,air
745,mató,killed
746,regresar,go back
747,vio,saw
748,hazlo,do it
749,trasero,rear
750,grupo,cluster
751,entendido,understood
752,señorita,Miss
753,música,music
754,perra,bitch
755,conoce,known
756,empezar,begin
757,siente,Feel
758,acabo,just
759,estúpido,idiot
760,diferente,different
761,traje,suit
762,modo,mode
763,encontré,I found
764,mensaje,message
765,llamada,call
766,navidad,Christmas
767,eras,ages
768,pena,grief
769,largo,long
770,entra,enters
771,piso,floor
772,foto,photo
773,dijeron,They said
774,médico,doctor
775,accidente,accident
776,fuiste,you were
777,imposible,impossible
778,podríamos,we could
779,línea,line
780,propia,own
781,barco,ship
782,ganar,gain
783,normal,normal
784,segundos,seconds
785,vive,lives
786,mitad,half
787,quiera,want
788,tras,after
789,decirle,Tell him
790,lindo,nice
791,funciona,works
792,programa,program
793,vine,came
794,abre,opens
795,sean,Sean
796,pagar,pay
797,fotos,photos
798,centro,center
799,supone,It supposes
800,basura,trash
801,situación,situation
802,mejores,top
803,vienen,they come
804,encanta,loves
805,marido,husband
806,personal,staff
807,maestro,teacher
808,hambre,hunger
809,ataque,stroke
810,culo,ass
811,dale,Go ahead
812,pie,foot
813,conseguir,get
814,trabajando,working
815,dejó,let
816,pudo,could
817,derecha,right
818,izquierda,left
819,próxima,next
820,pobre,poor
821,respuesta,answer
822,tipos,guys
823,sentir,feel
824,tenías,You had
825,pude,could
826,darle,give him
827,voz,voice
828,amiga,friend
829,gustan,like
830,vista,view
831,salvo,except
832,loca,crazy
833,hotel,hotel
834,hicieron,they made
835,ten,Ten
836,temo,I fear
837,señal,sign
838,pelo,hair
839,llevo,he took
840,ayer,yesterday
841,das,you give
842,nena,chick
843,servicio,service
844,tren,train
845,bonito,pretty
846,mes,month
847,tendrá,will have
848,tendrás,you will have
849,edad,age
850,ellas,they
851,hermosa,beautiful
852,honor,honor
853,simplemente,simply
854,llamas,calls
855,tengas,Have
856,corre,runs
857,sol,sun
858,siéntate,Sit down
859,dan,give
860,humano,human
861,divertido,fun
862,sexo,sex
863,vuelto,turned
864,peligro,danger
865,mesa,table
866,siguiente,following
867,hablo,speak
868,disculpa,sorry
869,decirme,Tell me
870,caja,box
871,negocios,business
872,misión,mission
873,silencio,silence
874,sale,comes out
875,llegado,arrived
876,estaría,It would
877,regreso,return
878,media,half
879,estan,are
880,propio,own
881,oro,gold
882,enseguida,right away
883,linda,beautiful
884,prometo,I promise
885,esposo,husband
886,norte,north
887,hubo,was
888,juro,I swear
889,muerta,dead
890,interesante,interesting
891,pensaba,thought
892,busca,seeks
893,terminar,finish
894,tendré,I will have
895,completamente,completely
896,cita,appointment
897,cumpleaños,birthday
898,abogado,lawyer
899,alrededor,around
900,cerebro,brain
901,porqué,because
902,llave,key
903,santo,holy
904,hermoso,beautiful
905,necesario,necessary
906,edificio,building
907,irnos,Go
908,aun,still
909,tendremos,we will have
910,vayas,go
911,doy,give
912,trae,Bring
913,salió,he left
914,ley,law
915,ahi,there
916,verdadero,TRUE
917,pelea,fight
918,banco,bank
919,terrible,terrible
920,calma,calm
921,cena,dinner
922,daré,I will give
923,gobierno,government
924,comprar,buy
925,creen,They believe
926,sargento,sergeant
927,destino,destination
928,existe,exists
929,hacía,toward
930,novio,boyfriend
931,sala,hall
932,través,through
933,regalo,gift
934,iglesia,church
935,decía,He said
936,cualquiera,any
937,excelente,excellent
938,esperen,Wait
939,deseo,desire
940,alma,soul
941,diablo,Devil
942,deje,leave
943,cuántos,how many
944,espada,sword
945,estábamos,We were
946,carne,meat
947,maravilloso,marvelous
948,vidas,lives
949,sucedió,happened
950,oí,I heard
951,peligroso,dangerous
952,dirección,address
953,libertad,freedom
954,jesús,Jesus
955,ocurrió,occurred
956,veré,I will see
957,sueños,dreams
958,pudiera,could
959,detective,detective
960,sorpresa,surprise
961,tuya,yours
962,pies,feet
963,club,club
964,terminado,finished
965,infierno,hell
966,creía,I believed
967,luna,moon
968,salvar,save
969,carta,letter
970,estés,be
971,cielos,Heavens
972,teniente,lieutenant
973,encuentra,finds
974,veamos,let's see
975,quise,I wanted
976,escúchame,listen to me
977,necesitan,They need
978,ambos,both
979,decisión,decision
980,enemigo,enemy
981,hicimos,we did
982,dulce,sweet
983,pruebas,evidence
984,querías,You wanted
985,abuelo,grandfather
986,totalmente,completely
987,mirando,looking
988,vayan,go
989,carrera,career
